Date,Name,Year,Letterboxd URI,Rating
2023-02-04,Avatar: The Way of Water,2022,https://boxd.it/2E2E,3.5
2023-02-04,Avatar,2009,https://boxd.it/1Efm,3.5
2023-02-04,Good Will Hunting,1997,https://boxd.it/2ahY,5
2023-02-04,Catch Me If You Can,2002,https://boxd.it/29VS,4
2023-02-16,CODA,2021,https://boxd.it/tbf4,4
2023-02-17,Greyhound,2020,https://boxd.it/iIaE,3
2023-03-10,TÁR,2022,https://boxd.it/uNIA,4
2023-04-09,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,2.5
2023-05-01,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,3
2023-05-02,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,2
2023-05-02,American Hustle,2013,https://boxd.it/5dz8,4
2023-05-05,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4
2023-05-07,Hereditary,2018,https://boxd.it/hNVe,4.5
2023-05-07,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-05-07,All Quiet on the Western Front,2022,https://boxd.it/H08,5
2023-05-07,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,3.5
2023-05-08,Life of Pi,2012,https://boxd.it/37pC,5
2023-06-12,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,4
2023-06-17,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,4
2023-06-19,Semi-Pro,2008,https://boxd.it/1Qw0,3.5
2023-06-19,King Richard,2021,https://boxd.it/mJZ2,4.5
2023-07-24,Causeway,2022,https://boxd.it/lWQq,3
2023-07-29,The Breakfast Club,1985,https://boxd.it/27q4,3.5
2023-07-30,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2023-07-30,Porco Rosso,1992,https://boxd.it/1Tp2,3.5
2023-07-31,Oppenheimer,2023,https://boxd.it/wUow,5
2023-08-06,Barbie,2023,https://boxd.it/bCLK,5
2023-08-06,Air,2023,https://boxd.it/Arlc,3.5
2023-08-07,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2023-08-11,Stephen Curry: Underrated,2023,https://boxd.it/wuUw,2
2023-08-13,Billy Madison,1995,https://boxd.it/1UQI,1.5
2023-08-14,The King's Speech,2010,https://boxd.it/dX0,4
2023-08-15,Top Gun: Maverick,2022,https://boxd.it/cjr4,3.5
2023-08-15,The Lighthouse,2019,https://boxd.it/icFU,4
2023-08-15,Dune,2021,https://boxd.it/fA7G,3.5
2023-08-19,Impractical Jokers: The Movie,2020,https://boxd.it/kMLI,1
2023-08-28,Till,2022,https://boxd.it/wfwY,3.5
2023-09-14,The Dark Knight,2008,https://boxd.it/2b0k,5
2023-10-21,Elvis,2022,https://boxd.it/mK4w,3
2023-12-18,Fargo,1996,https://boxd.it/2aHM,4.5
2024-01-10,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,3.5
2024-02-16,News of the World,2020,https://boxd.it/lm7a,3.5
2024-02-25,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4
2024-05-22,The Boys in the Boat,2023,https://boxd.it/v1OC,2
2024-05-22,The Notebook,2004,https://boxd.it/1UNE,2.5
2024-07-14,Requiem for a Dream,2000,https://boxd.it/29VI,4
2024-07-15,Civil War,2024,https://boxd.it/z1jW,2.5
2024-07-15,Bottoms,2023,https://boxd.it/uGf2,2
2024-08-10,moony's WARNING HIGH CUBE,2024,https://boxd.it/ODDg,5
2024-08-29,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2024-08-29,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2024-09-18,Asteroid City,2023,https://boxd.it/s3ds,3.5
2024-09-24,The Whale,2022,https://boxd.it/tw4c,4.5
2024-09-25,The Iron Claw,2023,https://boxd.it/w5Pm,3
2024-09-27,Anthropoid,2016,https://boxd.it/bOr8,3.5
2024-10-04,Lady Bird,2017,https://boxd.it/dGNE,5
2024-10-09,The Waterboy,1998,https://boxd.it/1VHi,2.5
2024-11-12,The Holdovers,2023,https://boxd.it/vHza,4.5
2024-11-24,Twisters,2024,https://boxd.it/qV7a,1.5
2024-11-25,How to Train Your Dragon,2010,https://boxd.it/1WRy,4
2024-11-27,Leave the World Behind,2023,https://boxd.it/re0i,3.5
2024-12-15,Hot Frosty,2024,https://boxd.it/NeBM,1
2024-12-16,Nutcrackers,2024,https://boxd.it/JEkO,2.5
2024-12-17,Sweethearts,2024,https://boxd.it/BNks,2.5
2024-12-18,Red One,2024,https://boxd.it/vTBM,1.5
2024-12-19,Dead Poets Society,1989,https://boxd.it/2aSg,5
2024-12-19,Beautiful Boy,2018,https://boxd.it/g76Q,5
2024-12-22,Cinderella Man,2005,https://boxd.it/29he,4
2024-12-24,On the Basis of Sex,2018,https://boxd.it/bhDq,3.5
2024-12-26,Aftersun,2022,https://boxd.it/Arw0,4.5
2025-01-03,Number 24,2024,https://boxd.it/KoWa,4
2025-01-05,A Complete Unknown,2024,https://boxd.it/oBYa,3.5
2025-01-12,The Fall Guy,2024,https://boxd.it/s0Bm,2
2025-01-17,Apollo 13,1995,https://boxd.it/2a6G,4
2025-01-20,Perfect Days,2023,https://boxd.it/ATh8,5
2025-01-21,Conclave,2024,https://boxd.it/AO8q,3.5
2025-01-23,Anatomy of a Fall,2023,https://boxd.it/yuDE,4.5
2025-01-24,Can of Worms,1999,https://boxd.it/2T6w,2.5
2025-01-29,Emilia Pérez,2024,https://boxd.it/AP3G,1
2025-03-06,Anora,2024,https://boxd.it/Egcw,4.5
2025-04-01,Parasite,2019,https://boxd.it/hTha,4
2025-04-06,The Prestige,2006,https://boxd.it/293w,3.5
2025-04-06,The Nice Guys,2016,https://boxd.it/94Hg,3
2025-04-07,Past Lives,2023,https://boxd.it/oNB8,4.5
2025-04-10,The Brutalist,2024,https://boxd.it/k4BO,5
2025-04-12,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,4
2025-04-12,September 5,2024,https://boxd.it/JYsI,4
2025-04-14,Hidden Figures,2016,https://boxd.it/dgS4,3
2025-04-21,Sinners,2025,https://boxd.it/KQMM,5
2025-04-24,Small Things Like These,2024,https://boxd.it/FHIm,3
2025-04-28,The Big Short,2015,https://boxd.it/ajZw,3.5
2025-05-03,A Real Pain,2024,https://boxd.it/CjNG,3.5
2025-05-03,Dunkirk,2017,https://boxd.it/d0Y6,5
2025-05-05,Annihilation,2018,https://boxd.it/9yzm,3.5
2025-05-13,1917,2019,https://boxd.it/jj4y,3
2025-05-20,Charlie Wilson's War,2007,https://boxd.it/21yc,2.5
2025-05-27,Fight Club,1999,https://boxd.it/2a9q,5
2025-06-24,The Terminator,1984,https://boxd.it/2aQY,4
2025-07-01,Call Me by Your Name,2017,https://boxd.it/dYmm,4.5
2025-07-06,Reservoir Dogs,1992,https://boxd.it/2agc,4
2025-07-07,A Man Called Otto,2022,https://boxd.it/zl06,2.5
2025-07-20,Sicario,2015,https://boxd.it/8i7u,3.5
2025-07-20,Ford v Ferrari,2019,https://boxd.it/ce74,4
2025-07-23,Opus,2025,https://boxd.it/JBMA,3.5
2025-07-26,F1,2025,https://boxd.it/yjVM,1.5
2025-07-27,Get Out,2017,https://boxd.it/eOCm,4.5
2025-08-04,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,5
2025-08-07,Happy Gilmore 2,2025,https://boxd.it/M8PQ,3
2025-08-08,American Gangster,2007,https://boxd.it/23wi,4
2025-08-09,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,2.5
2025-08-12,Freakier Friday,2025,https://boxd.it/GxwW,3.5
2025-08-17,Superman,2025,https://boxd.it/E9IU,4
2025-08-17,Weapons,2025,https://boxd.it/EMTM,4.5
2025-08-18,There Will Be Blood,2007,https://boxd.it/20Z2,4.5
2025-08-22,Honey Don't!,2025,https://boxd.it/Hurc,3.5
2025-09-03,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2025-09-18,Almost Famous,2000,https://boxd.it/29CQ,3
2025-10-06,One Battle After Another,2025,https://boxd.it/DUHM,5
2025-10-16,Dirty Dancing,1987,https://boxd.it/2baY,1.5
2025-10-25,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,4
2025-10-30,The Lost Bus,2025,https://boxd.it/KYKE,3
2025-10-30,Poor Things,2023,https://boxd.it/tNWU,5
2025-10-30,Springsteen: Deliver Me from Nowhere,2025,https://boxd.it/KJG8,2.5
2025-11-02,Bugonia,2025,https://boxd.it/qeWY,4.5
2025-11-03,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2025-11-10,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,4
2025-11-12,Triangle of Sadness,2022,https://boxd.it/hXlq,4
2025-11-24,Zodiac,2007,https://boxd.it/27MO,4.5
2025-12-09,Hamnet,2025,https://boxd.it/woVy,4.5
2025-12-12,Nebraska,2013,https://boxd.it/4exq,3.5
2025-12-13,Baby Driver,2017,https://boxd.it/bhF2,4
2025-12-22,Zootopia,2016,https://boxd.it/84xS,4
2025-12-25,It's a Wonderful Life,1946,https://boxd.it/28xA,5
2025-12-25,A Christmas Story,1983,https://boxd.it/29sw,3.5
2025-12-29,The Fabelmans,2022,https://boxd.it/ugoM,4.5
2025-12-30,Marty Supreme,2025,https://boxd.it/Off0,4.5
2026-01-04,Memento,2000,https://boxd.it/2bcK,4
2026-01-05,All the President's Men,1976,https://boxd.it/29lU,5
2026-01-20,Selma,2014,https://boxd.it/8jak,3.5
2026-01-21,No Other Choice,2025,https://boxd.it/nKiA,3.5
2026-01-22,Licorice Pizza,2021,https://boxd.it/qTKY,5
2026-01-24,Uncut Gems,2019,https://boxd.it/gXGc,5
2026-01-25,"Sorry, Baby",2025,https://boxd.it/JKNi,3.5
2026-01-26,Eddington,2025,https://boxd.it/o6MC,3
2026-01-29,The Smashing Machine,2025,https://boxd.it/syUC,3.5
2026-02-02,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,4
2026-02-04,Friendship,2024,https://boxd.it/L6Dc,3
2026-02-06,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3
2026-02-12,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,3.5
2026-02-16,Wuthering Heights,2026,https://boxd.it/OdIa,4.5
2026-02-22,Train Dreams,2025,https://boxd.it/LdDo,5
2026-03-02,The Secret Agent,2025,https://boxd.it/KkUE,3.5
2026-03-04,Boogie Nights,1997,https://boxd.it/23um,4
2026-03-06,Twilight,2008,https://boxd.it/1Zui,1
